iter	Passed	Remaining
0	180	180593
1	227	113477
2	275	91535
3	321	80105
4	376	74952
5	430	71250
6	478	67856
7	523	64884
8	566	62392
9	614	60868
10	675	60691
11	733	60350
12	777	59017
13	833	58681
14	882	57966
15	938	57742
16	983	56894
17	1028	56125
18	1084	55999
19	1134	55595
20	1188	55415
21	1244	55338
22	1300	55264
23	1357	55192
24	1408	54925
25	1455	54532
26	1502	54159
27	1549	53773
28	1593	53352
29	1641	53064
30	1691	52879
31	1745	52808
32	1793	52560
33	1839	52267
34	1888	52073
35	1935	51831
36	1986	51701
37	2034	51496
38	2098	51700
39	2157	51779
40	2207	51635
41	2256	51463
42	2300	51210
43	2354	51154
44	2401	50956
45	2445	50711
46	2492	50543
47	2537	50323
48	2585	50184
49	2634	50049
50	2679	49868
51	2723	49651
52	2767	49456
53	2811	49254
54	2857	49102
55	2893	48783
56	2943	48699
57	2992	48598
58	3040	48490
59	3091	48427
60	3136	48282
61	3185	48187
62	3229	48030
63	3273	47870
64	3326	47850
65	3371	47707
66	3414	47553
67	3461	47444
68	3520	47497
69	3569	47416
70	3615	47302
71	3663	47212
72	3712	47149
73	3761	47070
74	3811	47003
75	3892	47325
76	3962	47494
77	4016	47473
78	4071	47462
79	4125	47448
80	4177	47400
81	4232	47386
82	4290	47402
83	4343	47363
84	4403	47400
85	4455	47353
86	4507	47298
87	4577	47439
88	4630	47393
89	4681	47333
90	4747	47420
91	4775	47129
92	4869	47488
93	4952	47738
94	5033	47955
95	5095	47978
96	5150	47950
97	5207	47928
98	5262	47891
99	5321	47889
100	5385	47939
101	5439	47890
102	5495	47859
103	5547	47794
104	5600	47735
105	5649	47646
106	5703	47597
107	5757	47551
108	5810	47495
109	5866	47466
110	5927	47471
111	6000	47573
112	6051	47500
113	6105	47448
114	6155	47373
115	6207	47308
116	6259	47243
117	6311	47177
118	6365	47123
119	6416	47051
120	6465	46965
121	6513	46878
122	6565	46812
123	6618	46753
124	6671	46697
125	6726	46659
126	6777	46589
127	6836	46575
128	6888	46508
129	6938	46437
130	6993	46389
131	7043	46316
132	7102	46299
133	7155	46246
134	7219	46256
135	7289	46308
136	7338	46227
137	7389	46157
138	7444	46113
139	7497	46054
140	7547	45983
141	7611	45991
142	7670	45966
143	7725	45922
144	7785	45907
145	7840	45858
146	7897	45824
147	7948	45757
148	8004	45718
149	8056	45655
150	8109	45593
151	8161	45532
152	8212	45464
153	8265	45408
154	8322	45371
155	8372	45296
156	8421	45218
157	8477	45175
158	8527	45105
159	8577	45033
160	8635	44998
161	8686	44933
162	8739	44876
163	8790	44809
164	8840	44736
165	8894	44688
166	8945	44618
167	9002	44582
168	9030	44403
169	9089	44378
170	9138	44303
171	9190	44243
172	9246	44200
173	9295	44128
174	9355	44105
175	9382	43927
176	9431	43853
177	9486	43810
178	9549	43801
179	9606	43762
180	9667	43746
181	9724	43706
182	9780	43665
183	9834	43615
184	9885	43550
185	9940	43501
186	9994	43452
187	10061	43455
188	10135	43490
189	10196	43468
190	10255	43436
191	10315	43410
192	10373	43373
193	10431	43338
194	10487	43294
195	10545	43258
196	10602	43215
197	10658	43171
198	10714	43128
199	10771	43085
200	10831	43055
201	10884	42997
202	10938	42945
203	10993	42895
204	11047	42842
205	11106	42809
206	11153	42726
207	11208	42677
208	11263	42627
209	11315	42567
210	11369	42512
211	11439	42520
212	11493	42466
213	11549	42419
214	11605	42374
215	11664	42336
216	11723	42301
217	11777	42247
218	11833	42201
219	11894	42171
220	11955	42140
221	12009	42086
222	12061	42026
223	12118	41981
224	12171	41922
225	12225	41870
226	12279	41814
227	12340	41782
228	12395	41733
229	12450	41681
230	12508	41641
231	12565	41595
232	12622	41551
233	12678	41503
234	12732	41447
235	12784	41387
236	12837	41328
237	12894	41283
238	12949	41233
239	13001	41172
240	13054	41115
241	13109	41063
242	13165	41014
243	13229	40988
244	13285	40939
245	13337	40878
246	13388	40816
247	13448	40779
248	13503	40726
249	13559	40678
250	13617	40636
251	13680	40606
252	13736	40556
253	13782	40478
254	13826	40393
255	13882	40345
256	13932	40279
257	13986	40225
258	14043	40179
259	14102	40138
260	14163	40103
261	14215	40042
262	14268	39985
263	14319	39921
264	14371	39861
265	14425	39805
266	14478	39747
267	14527	39680
268	14582	39626
269	14643	39591
270	14698	39538
271	14757	39498
272	14802	39417
273	14856	39364
274	14907	39302
275	14957	39237
276	15009	39177
277	15064	39124
278	15123	39082
279	15193	39068
280	15258	39041
281	15313	38990
282	15369	38938
283	15419	38875
284	15474	38821
285	15531	38773
286	15585	38718
287	15638	38661
288	15695	38613
289	15748	38557
290	15802	38502
291	15855	38444
292	15907	38383
293	15962	38331
294	16022	38292
295	16091	38271
296	16149	38225
297	16211	38189
298	16268	38141
299	16325	38093
300	16384	38049
301	16423	37958
302	16479	37908
303	16520	37823
304	16578	37778
305	16635	37728
306	16690	37676
307	16742	37615
308	16794	37556
309	16851	37508
310	16911	37466
311	16968	37416
312	17024	37366
313	17076	37307
314	17129	37249
315	17180	37188
316	17232	37127
317	17294	37090
318	17349	37036
319	17401	36977
320	17470	36954
321	17524	36899
322	17577	36841
323	17632	36788
324	17708	36779
325	17767	36733
326	17817	36670
327	17872	36616
328	17926	36561
329	17978	36502
330	18047	36477
331	18100	36418
332	18151	36357
333	18208	36307
334	18293	36313
335	18347	36257
336	18397	36193
337	18449	36134
338	18503	36078
339	18556	36021
340	18611	35967
341	18666	35914
342	18717	35851
343	18769	35793
344	18828	35747
345	18891	35708
346	18943	35648
347	18996	35590
348	19049	35534
349	19106	35484
350	19156	35420
351	19206	35357
352	19260	35300
353	19313	35244
354	19371	35196
355	19425	35141
356	19480	35086
357	19532	35028
358	19589	34976
359	19644	34922
360	19708	34884
361	19759	34824
362	19815	34771
363	19865	34710
364	19919	34654
365	19972	34596
