Bedrooms,Bathrooms,Land_Size_Perches,House_Size_Sqft,City,District,Price_LKR
3,1,50.0,1600.0,109,15,5400000.0
3,3,8.0,1480.0,10,4,16800000.0
3,2,20.0,2800.0,92,6,20000000.0
5,5,22.0,4000.0,36,4,187000000.0
4,4,11.0,3300.0,152,4,55000000.0
4,4,10.0,4100.0,85,10,45000000.0
3,3,9.0,1400.0,141,4,16700000.0
4,4,10.0,4000.0,152,4,50000000.0
4,2,10.0,5000.0,58,6,19500000.0
3,1,9.85,1800.0,88,10,11500000.0
4,3,10.5,3100.0,127,6,26500000.0
4,2,11.4,1900.0,106,4,19000000.0
3,1,80.0,1100.0,77,8,11000000.0
3,2,7.5,1250.0,106,4,16500000.0
2,1,3.0,950.0,146,4,6500000.0
10,10,11.2,6000.0,121,4,95000000.0
4,5,11.0,3000.0,18,4,55000000.0
4,3,20.5,2900.0,18,4,50000000.0
3,2,15.0,1400.0,120,4,13500000.0
4,2,7.42,2900.0,120,4,24500000.0
4,2,21.5,2880.0,141,4,32500000.0
9,5,11.2,3085.0,131,4,27000000.0
5,4,7.5,2042.0,43,4,32500000.0
4,3,8.0,3200.0,98,4,33000000.0
5,3,10.2,2800.0,72,4,28500000.0
5,3,10.3,2600.0,117,6,17000000.0
4,4,12.5,2882.0,127,6,31000000.0
3,1,150.0,750.0,51,5,4500000.0
3,1,6.8,1800.0,106,4,14800000.0
4,4,7.0,2700.0,98,4,27000000.0
10,7,39.13,4000.0,59,10,34000000.0
4,4,12.0,4200.0,18,4,39500000.0
8,6,11.0,4000.0,86,5,32500000.0
6,5,10.0,2000.0,43,4,35000000.0
6,5,27.5,5000.0,152,4,65000000.0
4,2,9.11,1650.0,39,4,36440000.0
6,4,12.1,3000.0,148,4,40000000.0
4,4,10.0,4000.0,152,4,49500000.0
4,3,6.8,2500.0,141,4,25500000.0
7,4,10.0,5000.0,85,10,29500000.0
5,5,15.5,3200.0,43,4,85000000.0
4,4,10.0,2800.0,10,4,28000000.0
3,3,14.0,2800.0,131,4,47000000.0
3,1,15.0,3000.0,82,9,8400000.0
3,2,10.4,5400.0,23,4,75000000.0
2,1,1.5,600.0,85,10,18500000.0
