Bedrooms,Bathrooms,Land_Size_Perches,House_Size_Sqft,City,District,Price_LKR
4,4,7.7,3500.0,80,18,44000000.0
3,2,10.0,1600.0,32,20,20500000.0
3,1,14.0,1400.0,48,18,13500000.0
2,3,1.75,400.0,91,18,17000000.0
2,1,2.4,653.4,75,18,6000000.0
3,2,8.0,2200.0,9,18,28000000.0
6,5,27.0,7100.0,37,18,170000000.0
4,3,12.5,1600.0,146,20,17500000.0
4,3,10.5,3100.0,32,20,26500000.0
2,1,2.66,400.0,99,18,15000000.0
3,2,5.2,1200.0,53,18,13000000.0
2,2,12.0,2000.0,80,18,28500000.0
6,2,6.0,2000.0,75,18,32000000.0
3,2,7.5,1500.0,2,18,16500000.0
3,2,10.0,1000.0,140,18,7300000.0
5,4,7.0,3250.0,48,18,23500000.0
3,2,12.8,1750.0,60,18,17000000.0
4,3,6.5,2800.0,9,18,26500000.0
6,5,16.0,3600.0,168,18,33500000.0
4,4,10.0,2800.0,9,18,28000000.0
2,2,3.0,1000.0,75,18,9500000.0
2,1,10.0,1200.0,41,23,9200000.0
2,1,6.0,900.0,109,20,4600000.0
4,3,10.5,3150.0,32,20,26500000.0
5,2,7.0,2000.0,32,20,17500000.0
2,2,12.5,3550.0,75,18,22500000.0
4,2,14.0,2600.0,148,18,32000000.0
4,3,36.0,2500.0,80,18,90000000.0
3,2,14.0,2500.0,169,18,67200000.0
8,2,6.8,1500.0,162,20,13500000.0
4,4,8.5,3200.0,48,18,36000000.0
2,1,18.3,1200.0,127,20,12000000.0
4,3,10.5,3150.0,32,20,26500000.0
4,2,7.2,2200.0,140,18,15000000.0
4,3,6.5,2000.0,48,18,19500000.0
3,2,10.0,1600.0,32,20,20500000.0
5,3,7.0,3250.0,48,18,23500000.0
4,4,11.0,4200.0,60,18,49500000.0
4,3,8.0,4000.0,168,18,29500000.0
3,2,3.25,900.0,75,18,7500000.0
3,2,7.0,3330.0,7,18,40000000.0
3,1,10.0,1425.0,32,20,9900000.0
4,4,13.0,3500.0,169,18,60000000.0
7,4,10.0,5000.0,154,2,29500000.0
5,3,11.7,2350.0,169,18,49500000.0
4,4,9.0,2741.0,48,18,21500000.0
4,3,20.0,3500.0,32,20,29500000.0
4,3,10.5,3150.0,32,20,26500000.0
2,1,5.0,1250.0,26,18,12000000.0
2,2,7.0,1200.0,9,18,18000000.0
3,2,7.0,1250.0,9,18,26500000.0
3,4,5.24,2000.0,108,18,42000000.0
5,2,27.0,3000.0,124,20,49800000.0
4,2,11.0,2100.0,32,20,13000000.0
5,3,13.4,4000.0,140,18,30000000.0
2,3,7.7,1300.0,168,18,12500000.0
5,4,6.0,2067.0,2,18,22000000.0
4,2,12.6,2300.0,48,18,33000000.0
3,1,8.08,1085.0,111,2,18000000.0
4,3,8.2,2100.0,153,20,25000000.0
3,2,15.0,4084.0,60,18,75000000.0
4,3,6.5,2500.0,53,18,33500000.0
4,3,10.5,3150.0,32,20,26500000.0
5,5,40.0,6700.0,140,18,110000000.0
3,3,10.0,2800.0,146,20,21000000.0
2,1,10.0,500.0,59,20,7500000.0
2,1,10.0,1800.0,140,18,14000000.0
4,3,7.8,3600.0,9,18,36000000.0
4,2,9.5,2500.0,37,18,26500000.0
3,2,10.0,1984.0,32,20,28500000.0
4,4,6.2,2500.0,48,18,25500000.0
4,4,15.0,4000.0,60,18,60000000.0
6,5,16.0,3000.0,168,18,33500000.0
4,4,8.5,2750.0,48,18,26000000.0
3,2,12.5,2300.0,146,20,21000000.0
6,5,16.0,3600.0,168,18,33500000.0
4,4,10.68,3800.0,60,18,56000000.0
6,4,7.55,3500.0,102,18,70000000.0
4,1,25.0,4500.0,34,20,6750000.0
5,5,16.0,3500.0,80,18,85000000.0
4,4,7.0,2200.0,48,18,17500000.0
4,4,8.0,2740.0,48,18,25500000.0
5,4,7.8,2041.88,37,18,23000000.0
4,3,6.5,2200.0,9,18,26500000.0
3,3,10.0,1000.0,109,20,9500000.0
4,4,14.0,2785.0,48,18,23500000.0
6,3,10.0,2400.0,154,2,42500000.0
4,3,10.5,2400.0,9,18,26000000.0
5,4,10.0,1600.0,155,19,12500000.0
4,4,20.0,4600.0,59,20,55000000.0
3,2,10.0,1500.0,48,18,13800000.0
5,2,20.0,1500.0,68,12,7000000.0
6,4,12.1,3000.0,55,18,40000000.0
3,2,13.43,2000.0,167,18,30000000.0
4,2,12.0,2000.0,140,18,23000000.0
5,6,15.0,3500.0,7,18,50000000.0
3,2,10.0,2500.0,7,18,35000000.0
4,4,6.0,2400.0,48,18,24800000.0
5,4,10.0,3000.0,48,18,40000000.0
5,3,10.0,2500.0,168,18,17500000.0
4,4,7.0,2200.0,48,18,17500000.0
3,2,20.5,2200.0,146,20,18500000.0
3,1,6.32,1200.0,53,18,19800000.0
3,4,12.5,3000.0,48,18,19700000.0
3,2,12.0,2000.0,127,20,15500000.0
4,2,10.8,2200.0,108,18,52500000.0
4,3,10.5,3100.0,32,20,26500000.0
5,5,11.5,3980.0,48,18,36700000.0
4,1,56.0,1000.0,136,4,5000000.0
3,2,10.0,1350.0,2,18,14000000.0
4,3,15.56,3000.0,26,18,56016000.0
4,2,8.0,2900.0,144,20,28000000.0
4,4,6.0,2005.0,9,18,20500000.0
5,3,7.5,3250.0,48,18,23500000.0
6,4,14.0,3000.0,48,18,48500000.0
5,1,80.0,1300.0,122,19,7500000.0
5,2,13.5,2089.0,52,20,27000000.0
4,5,7.0,2500.0,48,18,25500000.0
4,3,6.0,2700.0,80,18,35000000.0
6,1,29.0,1000.0,128,2,16500000.0
3,3,6.5,1250.0,168,18,12800000.0
2,2,3.5,916.0,75,18,6500000.0
4,2,10.8,2000.0,32,20,15800000.0
3,3,13.0,3539.25,167,18,41600000.0
4,3,6.1,2800.0,48,18,25500000.0
4,3,30.0,3500.0,108,18,125000000.0
4,4,6.0,2875.0,48,18,24800000.0
3,2,3.0,950.0,2,18,18500000.0
4,5,14.5,4500.0,168,18,37500000.0
4,4,35.0,4800.0,60,18,90000000.0
3,3,8.0,1400.0,2,18,18000000.0
3,1,6.2,1500.0,149,18,11000000.0
4,2,15.0,2400.0,124,20,12000000.0
4,4,9.1,2768.0,99,18,100000000.0
5,3,6.2,2600.0,48,18,25500000.0
5,3,6.5,2300.0,153,20,17800000.0
5,2,10.0,2000.0,48,18,26000000.0
4,3,6.0,2400.0,48,18,24800000.0
3,2,6.0,2000.0,43,18,16000000.0
4,4,15.0,4500.0,48,18,70000000.0
8,4,27.85,6000.0,9,18,55000000.0
4,4,8.5,2522.0,48,18,26000000.0
4,4,7.7,3300.0,60,18,44000000.0
3,2,9.0,1800.0,149,18,16000000.0
5,4,7.5,3012.0,48,18,29500000.0
3,3,10.5,1620.0,48,18,19000000.0
2,2,7.0,1750.0,9,18,14800000.0
4,4,8.0,3500.0,168,18,33000000.0
5,4,8.0,3700.0,48,18,30500000.0
3,2,9.5,1380.0,140,18,13000000.0
4,4,10.0,3142.0,48,18,28000000.0
3,2,9.0,1000.0,149,18,16000000.0
4,3,17.0,2000.0,2,18,16000000.0
3,1,18.0,1000.0,46,14,5200000.0
4,4,50.2,3000.0,60,18,110000000.0
5,5,8.5,4500.0,99,18,170000000.0
3,2,8.0,1745.0,48,18,14000000.0
4,2,15.5,4100.0,153,20,22500000.0
5,4,12.0,2500.0,80,18,52500000.0
4,3,10.5,3150.0,32,20,26500000.0
4,4,15.0,3000.0,48,18,28500000.0
4,4,7.5,2986.0,48,18,26000000.0
5,3,6.2,2600.0,48,18,25500000.0
5,5,11.0,3500.0,60,18,40000000.0
3,2,10.0,1610.0,32,20,19000000.0
4,3,10.6,3200.0,7,18,43500000.0
5,4,17.9,3000.03,55,18,80000002.0
4,3,20.0,2500.0,32,20,29500000.0
8,7,21.0,4000.0,127,20,28000000.0
3,2,17.5,2000.0,37,18,37000000.0
4,4,8.0,3000.0,168,18,33000000.0
10,7,23.5,8500.0,53,18,64000000.0
6,7,24.0,1400.0,80,18,170000000.0
4,2,4.5,2000.0,86,18,20000000.0
5,5,22.0,5000.0,159,1,40000000.0
3,3,8.0,1800.0,48,18,23500000.0
4,4,8.0,3000.0,168,18,33000000.0
4,3,50.17,4000.0,60,18,105000000.0
4,3,13.0,1500.0,43,18,26000000.0
2,1,5.25,1000.0,108,18,18000000.0
3,2,7.5,1300.0,9,18,17000000.0
5,4,10.0,3800.0,43,18,37500000.0
3,1,10.0,1490.0,48,18,18500000.0
4,4,11.5,2800.0,9,18,27500000.0
