iter	RMSE
0	27409242.08
1	26635452.83
2	25905702.41
3	25117000.13
4	24405894.05
5	23722358.68
6	23086761.63
7	22502008.86
8	21929340.46
9	21398517.03
10	20915671.71
11	20473934.47
12	20038801.76
13	19646204.8
14	19259570.15
15	18894191.9
16	18576045.38
17	18273335.06
18	17982068.44
19	17720887.53
20	17456903.9
21	17207468.15
22	16988747.18
23	16765143.68
24	16577443.82
25	16399257.87
26	16218727.58
27	16047319.94
28	15892083.47
29	15724844
30	15559800
31	15403139.2
32	15250410.43
33	15135729.55
34	15019413.17
35	14891815.31
36	14767298.42
37	14646140.81
38	14548318.69
39	14471900.3
40	14370230.65
41	14289357.67
42	14206131.73
43	14110255.53
44	14042958.49
45	13960629.88
46	13893296.67
47	13819227.49
48	13746957.05
49	13682797.68
50	13612659.13
51	13556137.56
52	13511842.45
53	13464269.89
54	13425938.15
55	13401885.29
56	13356848.1
57	13315988.05
58	13274259.78
59	13229249.69
60	13180355.79
61	13151220.21
62	13115030.45
63	13062371.43
64	13033332
65	13012147.24
66	12981457.52
67	12937932.1
68	12914123.08
69	12883134.74
70	12845775.98
71	12822901.34
72	12786847.09
73	12757475.55
74	12734359.5
75	12709396.19
76	12686651.16
77	12659262.58
78	12641008.83
79	12619547.34
80	12601458.67
81	12576009.45
82	12560682.47
83	12545368.31
84	12529704
85	12511659.39
86	12492457.51
87	12475729.88
88	12465591.82
89	12449219.91
90	12436534.2
91	12435694.13
92	12426346.52
93	12396185.26
94	12372186.8
95	12346589.68
96	12332650.88
97	12321509.77
98	12304735.77
99	12295826.25
100	12277503.7
101	12272478.66
102	12257705.71
103	12247744.45
104	12235735.94
105	12229261.13
106	12212710.88
107	12203828.59
108	12182498.55
109	12168301.3
110	12153788.68
111	12148990.45
112	12137315.31
113	12124234.59
114	12112327.28
115	12102522.63
116	12083061.97
117	12065892.82
118	12056638.75
119	12031734.6
120	12026485.11
121	12010323.16
122	11998318.3
123	11987798.76
124	11981567.17
125	11976364.83
126	11969063.91
127	11954462.3
128	11943579.44
129	11941236.78
130	11928577.72
131	11919670.53
132	11911363.48
133	11906759.57
134	11902548.6
135	11896873.49
136	11889435.6
137	11875555.89
138	11866074.9
139	11857708.46
140	11851205.88
141	11847051.85
142	11836487.56
143	11823088.6
144	11819146.72
145	11807584.81
146	11790898.49
147	11785293.95
148	11777459.8
149	11766112.11
150	11737339.17
151	11728237.76
152	11720507.21
153	11699038.87
154	11689905.21
155	11680269.32
156	11674446.83
157	11670394.44
158	11649698.27
159	11641382.8
160	11628521.61
161	11625390.94
162	11618420.59
163	11617163.09
164	11614443.02
