iter	Passed	Remaining
0	232	232356
1	303	151574
2	394	130951
3	495	123436
4	604	120373
5	718	118963
6	866	122973
7	934	115889
8	1001	110286
9	1066	105615
10	1134	102005
11	1230	101277
12	1302	98878
13	1375	96904
14	1443	94772
15	1512	93019
16	1582	91505
17	1652	90167
18	1715	88565
19	1777	87076
20	1846	86085
21	1911	84955
22	1974	83881
23	2038	82888
24	2104	82093
25	2173	81420
26	2243	80863
27	2310	80201
28	2400	80363
29	2462	79636
30	2533	79207
31	2612	79015
32	2684	78676
33	2753	78240
34	2829	78010
35	2903	77753
36	2981	77596
37	3058	77425
38	3140	77391
39	3230	77541
40	3313	77494
41	3454	78788
42	3567	79406
43	3664	79617
44	3739	79357
45	3865	80170
46	3982	80743
47	4121	81741
48	4233	82173
49	4353	82709
50	4440	82621
51	4568	83295
52	4689	83797
53	4784	83817
54	4869	83674
55	4938	83248
56	5027	83181
57	5125	83246
58	5241	83600
59	5345	83747
60	5472	84243
61	5557	84082
62	5639	83872
63	5718	83635
64	5823	83767
65	5926	83872
66	6022	83871
67	6106	83698
68	6193	83561
69	6275	83376
70	6360	83222
71	6448	83115
72	6560	83310
73	6646	83170
74	6723	82923
75	6803	82715
76	6908	82816
77	7010	82864
78	7124	83053
79	7227	83118
80	7303	82857
81	7386	82687
82	7460	82423
83	7542	82252
84	7642	82270
85	7738	82246
86	7807	81934
87	7895	81825
88	7991	81797
89	8085	81749
90	8219	82104
91	8254	81469
92	8342	81365
93	8446	81410
94	8522	81184
95	8597	80958
96	8673	80745
97	8744	80489
98	8815	80228
99	8879	79912
100	8951	79676
101	9024	79454
102	9092	79187
103	9163	78944
104	9230	78681
105	9316	78574
106	9387	78343
107	9446	78022
108	9506	77712
109	9562	77366
110	9623	77076
111	9694	76859
112	9754	76568
113	9812	76260
114	9916	76317
115	10002	76224
116	10094	76185
117	10178	76083
118	10265	75995
119	10344	75858
120	10422	75716
121	10502	75583
122	10596	75552
123	10667	75357
124	10733	75134
125	10799	74908
126	10868	74708
127	10970	74739
128	11062	74694
129	11152	74638
130	11219	74426
131	11284	74202
132	11346	73967
133	11399	73672
134	11452	73380
135	11504	73089
136	11561	72825
137	11618	72575
138	11684	72378
139	11746	72155
140	11808	71936
141	11866	71698
142	11931	71508
143	11984	71241
144	12038	70984
145	12096	70755
146	12161	70569
147	12216	70327
148	12277	70120
149	12341	69935
150	12439	69942
151	12502	69749
152	12574	69614
153	12660	69550
154	12739	69452
155	12804	69274
156	12873	69125
157	12937	68945
158	13006	68793
159	13071	68626
160	13140	68476
161	13215	68361
162	13318	68391
163	13406	68338
164	13495	68295
165	13589	68275
166	13711	68395
167	13844	68564
168	13923	68462
169	14031	68505
170	14175	68724
171	14315	68913
172	14402	68847
173	14469	68689
174	14550	68594
175	14583	68276
176	14674	68231
177	14758	68156
178	14835	68046
179	14938	68053
180	15046	68084
181	15120	67960
182	15186	67800
183	15256	67660
184	15352	67633
185	15446	67600
186	15519	67472
187	15590	67339
188	15659	67193
189	15734	67077
190	15802	66932
191	15878	66823
192	15941	66655
193	16006	66501
194	16062	66311
195	16132	66175
196	16186	65976
197	16242	65789
198	16309	65649
199	16400	65601
200	16476	65497
201	16565	65441
202	16654	65386
203	16743	65332
204	16804	65168
205	16858	64979
206	16910	64784
207	16977	64644
208	17045	64512
209	17099	64326
210	17148	64125
211	17203	63943
212	17272	63818
213	17329	63650
214	17385	63477
215	17474	63427
216	17531	63260
217	17603	63145
218	17662	62989
219	17738	62890
220	17808	62774
221	17875	62645
222	17929	62472
223	17984	62303
224	18044	62152
225	18110	62025
226	18162	61847
227	18221	61696
228	18273	61521
229	18322	61338
230	18373	61164
231	18435	61026
232	18487	60857
233	18537	60681
234	18588	60510
235	18640	60344
236	18704	60218
237	18767	60089
238	18818	59920
239	18875	59772
240	18937	59639
241	18988	59476
242	19038	59310
243	19089	59144
244	19143	58993
245	19199	58846
246	19252	58692
247	19304	58536
248	19358	58387
249	19411	58235
250	19468	58096
251	19521	57943
252	19573	57791
253	19620	57624
254	19662	57444
255	19713	57291
256	19772	57163
257	19821	57005
258	19870	56849
259	19927	56716
260	19981	56576
261	20031	56425
262	20087	56290
263	20136	56136
264	20186	55989
265	20239	55848
266	20287	55696
267	20334	55540
268	20383	55390
269	20429	55236
270	20485	55105
271	20548	54997
272	20595	54846
273	20651	54719
274	20701	54577
275	20750	54432
276	20803	54300
277	20862	54182
278	20917	54056
279	20969	53921
280	21028	53805
281	21080	53672
282	21134	53546
283	21187	53416
284	21238	53282
285	21289	53148
286	21340	53017
